Bid,Department
,
SPB-00001,
SPB-00002,
SPB-00003,
SPB-00004,
SPB-00006,
SPB-00008,
SPB-00009,
SPB-00010,
SPB-00059,
SPB-00061,
SPB-00077,
SPB-00083,
SPB-00279,
SPB-00333,
SPB-00390,
SPB-00530,
SPB-00537,
SPB-00547,
SPB-00597,
SPB-00602,
SPB-00735,
SPB-00770,
SPB-00773,
SPB-00808,
SPB-00834,
SPB-01169,
SPB-01199,
SPB-01269,
SPB-01293,
SPB-01351,
SPB-01381,
SPB-01828,
SPB-01836,
SPB-01851,
SPB-01906,
SPB-01961,
SPB-01968,
SPB-02274,
SPB-02508,
SPB-02528,
SPB-02603,
SPB-02628,
SPB-02656,
SPB-02702,
SPB-03046,
SPB-03150,
SPB-03188,
SPB-03326,
SPB-03422,
SPB-03541,
SPB-03547,
SPB-03623,
SPB-03666,
SPB-03735,
SPB-03774,
SPB-03815,
SPB-03955,
SPB-04046,
SPB-04065,
SPB-04116,
SPB-04190,
SPB-04277,
SPB-04300,
SPB-04321,
SPB-04360,
SPB-04453,
SPB-04457,
SPB-04508,
SPB-04594,
SPB-04652,
SPB-04677,
SPB-04702,
SPB-04725,
SPB-04791,
SPB-04857,
SPB-04864,
SPB-04881,
SPB-04891,
SPB-04913,
SPB-04923,
SPB-05007,
SPB-05052,
SPB-05055,
SPB-05072,
SPB-05175,
SPB-05246,
SPB-05300,
SPB-05351,
SPB-05375,
SPB-05444,
SPB-05571,
SPB-05574,
SPB-05616,
SPB-05642,
SPB-05649,
SPB-05694,
SPB-05699,
SPB-05824,
SPB-05828,
SPB-05882,
SPB-05883,
SPB-05975,
SPB-05976,
SPB-06116,
SPB-08037,
SPB-08123,
SPB-08437,
SPB-09494,
SPB-10001,
SPB-10182,
SPB-11111,
SPB-11231,
SPB-11233,
SPB-12121,
SPB-12304,
SPB-12312,
SPB-12313,
SPB-13131,
SPB-15091,
SPB-18177,
SPB-19438,
SPB-20083,
SPB-20694,
SPB-21781,
SPB-22222,
SPB-30001,개화3팀
SPB-30006,
SPB-30008,
SPB-30009,상암1팀
SPB-30010,상암1팀
SPB-30014,개화4팀
SPB-30018,
SPB-30022,
SPB-30024,훈련원1팀
SPB-30026,
SPB-30031,
SPB-30032,
SPB-30036,
SPB-30037,
SPB-30041,
SPB-30044,훈련원3팀
SPB-30045,
SPB-30046,
SPB-30052,
SPB-30053,중랑1팀
SPB-30055,훈련원3팀
SPB-30057,상암1팀
SPB-30058,
SPB-30061,세종로2팀
SPB-30062,
SPB-30066,
SPB-30070,훈련원4팀
SPB-30071,상암1팀
SPB-30074,상암1팀
SPB-30075,
SPB-30078,
SPB-30079,
SPB-30080,
SPB-30081,
SPB-30090,
SPB-30091,상암1팀
SPB-30095,
SPB-30096,
SPB-30097,
SPB-30098,상암1팀
SPB-30099,
SPB-30100,
SPB-30101,
SPB-30102,
SPB-30103,상암1팀
SPB-30104,
SPB-30106,
SPB-30107,
SPB-30108,영남3팀
SPB-30109,
SPB-30110,영남1팀
SPB-30111,영남3팀
SPB-30112,
SPB-30113,
SPB-30114,상암1팀
SPB-30115,
SPB-30116,
SPB-30117,세종로2팀
SPB-30118,
SPB-30119,훈련원4팀
SPB-30120,중랑2팀
SPB-30121,
SPB-30122,
SPB-30123,
SPB-30124,
SPB-30125,
SPB-30126,
SPB-30127,
SPB-30128,영남3팀
SPB-30129,
SPB-30130,
SPB-30131,
SPB-30132,
SPB-30133,
SPB-30134,
SPB-30135,
SPB-30136,
SPB-30137,
SPB-30138,
SPB-30139,
SPB-30140,중랑1팀
SPB-30141,영남2팀
SPB-30142,
SPB-30143,상암1팀
SPB-30144,중랑2팀
SPB-30145,
SPB-30146,영남3팀
SPB-30147,
SPB-30149,상암2팀
SPB-30150,
SPB-30151,
SPB-30152,
SPB-30153,
SPB-30154,
SPB-30155,영남1팀
SPB-30156,
SPB-30157,
SPB-30158,
SPB-30159,
SPB-30160,영남3팀
SPB-30161,
SPB-30162,훈련원3팀
SPB-30163,
SPB-30164,
SPB-30165,중랑2팀
SPB-30166,
SPB-30167,
SPB-30168,
SPB-30169,
SPB-30170,
SPB-30171,
SPB-30172,
SPB-30173,중랑1팀
SPB-30174,
SPB-30175,중랑1팀
SPB-30176,
SPB-30177,
SPB-30178,
SPB-30179,
SPB-30180,천왕1팀
SPB-30181,
SPB-30182,영남3팀
SPB-30183,
SPB-30184,
SPB-30185,
SPB-30186,
SPB-30187,
SPB-30188,
SPB-30189,
SPB-30190,
SPB-30191,중랑2팀
SPB-30192,영남1팀
SPB-30193,
SPB-30195,
SPB-30196,
SPB-30197,
SPB-30198,
SPB-30199,
SPB-30200,영남3팀
SPB-30201,
SPB-30203,
SPB-30204,
SPB-30205,
SPB-30206,
SPB-30207,
SPB-30208,
SPB-30209,
SPB-30210,
SPB-30212,
SPB-30213,개화3팀
SPB-30214,
SPB-30215,
SPB-30216,
SPB-30217,
SPB-30219,
SPB-30220,
SPB-30221,
SPB-30222,훈련원3팀
SPB-30223,중랑2팀
SPB-30224,
SPB-30225,
SPB-30226,
SPB-30227,
SPB-30228,
SPB-30229,
SPB-30230,훈련원1팀
SPB-30231,
SPB-30232,
SPB-30233,
