Bid,Department
,
SPB-30001,개화3팀
SPB-30009,상암1팀
SPB-30010,상암1팀
SPB-30014,개화4팀
SPB-30024,훈련원1팀
SPB-30044,훈련원3팀
SPB-30053,중랑1팀
SPB-30055,훈련원3팀
SPB-30057,상암1팀
SPB-30061,세종로2팀
SPB-30070,훈련원4팀
SPB-30071,상암1팀
SPB-30074,상암1팀
SPB-30091,상암1팀
SPB-30098,상암1팀
SPB-30103,상암1팀
SPB-30108,영남3팀
SPB-30110,영남1팀
SPB-30111,영남3팀
SPB-30114,상암1팀
SPB-30117,세종로2팀
SPB-30119,훈련원4팀
SPB-30120,중랑2팀
SPB-30128,영남3팀
SPB-30140,중랑1팀
SPB-30141,영남2팀
SPB-30143,상암1팀
SPB-30144,중랑2팀
SPB-30146,영남3팀
SPB-30149,상암2팀
SPB-30155,영남1팀
SPB-30160,영남3팀
SPB-30162,훈련원3팀
SPB-30165,중랑2팀
SPB-30173,중랑1팀
SPB-30175,중랑1팀
SPB-30180,천왕1팀
SPB-30182,영남3팀
SPB-30191,중랑2팀
SPB-30192,영남1팀
SPB-30200,영남3팀
SPB-30213,개화3팀
SPB-30222,훈련원3팀
SPB-30223,중랑2팀
SPB-30230,훈련원1팀
SPB-30234,영남1팀
SPB-30237,세종로1팀
SPB-30239,영남1팀
SPB-30240,중랑2팀
SPB-30241,개화4팀
SPB-30243,개화2팀
SPB-30245,훈련원1팀
SPB-30246,영남3팀
SPB-30252,세종로2팀
SPB-30258,상암2팀
SPB-30259,훈련원3팀
SPB-30264,상암1팀
SPB-30265,중랑1팀
SPB-30267,훈련원3팀
SPB-30269,훈련원1팀
SPB-30271,상암2팀
SPB-30273,상암2팀
SPB-30278,영남1팀
SPB-30282,영남1팀
SPB-30290,훈련원3팀
SPB-30291,중랑1팀
SPB-30299,상암1팀
SPB-30304,영남3팀
SPB-30308,개화4팀
SPB-30310,영남1팀
SPB-30317,상암2팀
SPB-30319,훈련원1팀
SPB-30325,상암1팀
SPB-30326,중랑1팀
SPB-30328,상암1팀
SPB-30332,상암1팀
SPB-30334,상암1팀
SPB-30335,훈련원4팀
SPB-30341,중랑1팀
SPB-30346,영남3팀
SPB-30347,중랑2팀
SPB-30351,영남1팀
SPB-30352,훈련원4팀
SPB-30356,영남3팀
SPB-30358,영남1팀
SPB-30364,영남3팀
SPB-30369,영남1팀
SPB-30370,상암1팀
SPB-30371,훈련원4팀
SPB-30372,영남1팀
SPB-30387,중랑2팀
SPB-30391,상암1팀
SPB-30392,훈련원3팀
SPB-30401,상암1팀
SPB-30405,영남1팀
SPB-30413,세종로2팀
SPB-30414,중랑2팀
SPB-30416,영남3팀
SPB-30417,개화3팀
SPB-30419,상암1팀
SPB-30420,개화4팀
SPB-30426,훈련원4팀
SPB-30428,상암1팀
SPB-30434,영남1팀
SPB-30435,중랑2팀
SPB-30445,훈련원4팀
SPB-30450,중랑1팀
SPB-30455,훈련원1팀
SPB-30459,훈련원4팀
SPB-30460,중랑1팀
SPB-30463,중랑2팀
SPB-30464,훈련원4팀
SPB-30478,세종로 4팀
SPB-30480,훈련원4팀
SPB-30481,상암2팀
SPB-30483,영남1팀
SPB-30485,영남1팀
SPB-30486,영남1팀
SPB-30489,영남3팀
SPB-30496,상암1팀
SPB-30500,중랑2팀
SPB-30502,중랑1팀
SPB-30509,영남1팀
SPB-30511,개화4팀
SPB-30520,중랑2팀
SPB-30524,중랑2팀
SPB-30532,영남1팀
SPB-30535,상암1팀
SPB-30539,영남3팀
SPB-30553,훈련원4팀
SPB-30556,훈련원3팀
SPB-30561,개화4팀
SPB-30566,영남3팀
SPB-30574,개화4팀
SPB-30581,영남3팀
SPB-30582,중랑1팀
SPB-30586,훈련원1팀
SPB-30587,영남1팀
SPB-30588,상암1팀
SPB-30591,중랑1팀
SPB-30597,영남1팀
SPB-30600,개화3팀
SPB-30603,영남3팀
SPB-30604,상암1팀
SPB-30606,영남3팀
SPB-30607,영남1팀
SPB-30608,상암1팀
SPB-30610,영남1팀
SPB-30615,영남1팀
SPB-30619,개화3팀
SPB-30622,훈련원3팀
SPB-30625,개화3팀
SPB-30630,세종로 4팀
SPB-30631,중랑2팀
SPB-30634,상암1팀
SPB-30645,개화3팀
SPB-30648,영남1팀
SPB-30653,개화3팀
SPB-30654,개화3팀
SPB-30659,훈련원1팀
SPB-30664,영남3팀
SPB-30675,영남3팀
SPB-30677,영남3팀
SPB-30678,중랑1팀
SPB-30685,중랑1팀
SPB-30689,중랑2팀
SPB-30691,상암1팀
SPB-30692,영남3팀
SPB-30693,훈련원1팀
SPB-30707,개화4팀
SPB-30710,중랑2팀
SPB-30716,상암1팀
SPB-30719,중랑2팀
SPB-30723,상암2팀
SPB-30725,중랑1팀
SPB-30727,상암1팀
SPB-30737,영남1팀
SPB-30741,훈련원4팀
SPB-30747,훈련원3팀
SPB-30761,상암1팀
SPB-30763,영남1팀
SPB-30771,상암1팀
SPB-30776,중랑2팀
SPB-30778,세종로1팀
SPB-30780,중랑1팀
SPB-30781,영남3팀
SPB-30782,영남1팀
SPB-30783,영남3팀
SPB-30784,세종로1팀
SPB-30785,중랑1팀
SPB-30790,중랑2팀
SPB-30793,상암1팀
SPB-30796,중랑1팀
SPB-30800,훈련원4팀
SPB-30803,영남1팀
SPB-30805,상암1팀
SPB-30807,중랑2팀
SPB-30809,천왕1팀
SPB-30816,영남3팀
SPB-30820,중랑2팀
SPB-30821,훈련원4팀
SPB-30823,훈련원3팀
SPB-30824,영남1팀
SPB-30827,영남1팀
SPB-30831,훈련원3팀
SPB-30833,개화3팀
SPB-30837,중랑1팀
SPB-30841,상암1팀
SPB-30844,상암1팀
SPB-30849,상암1팀
SPB-30850,상암1팀
SPB-30853,중랑1팀
SPB-30855,훈련원3팀
SPB-30861,영남3팀
SPB-30871,영남1팀
SPB-30873,중랑2팀
SPB-30877,중랑1팀
SPB-30878,상암1팀
SPB-30883,훈련원3팀
SPB-30885,훈련원1팀
SPB-30896,상암1팀
SPB-30912,개화3팀
SPB-30930,중랑1팀
SPB-30931,영남1팀
SPB-30935,영남3팀
SPB-30938,중랑1팀
SPB-30944,개화4팀
SPB-30945,훈련원4팀
SPB-30954,세종로 4팀
SPB-30955,영남1팀
SPB-30966,상암1팀
SPB-30967,영남3팀
SPB-30969,상암1팀
SPB-30970,세종로2팀
SPB-30980,상암1팀
SPB-30983,영남3팀
SPB-30989,훈련원4팀
SPB-30998,훈련원1팀
SPB-31001,훈련원1팀
SPB-31004,세종로1팀
SPB-31011,훈련원1팀
SPB-31014,세종로 4팀
SPB-31016,상암2팀
SPB-31017,중랑1팀
SPB-31018,영남1팀
SPB-31020,영남1팀
SPB-31022,훈련원3팀
SPB-31026,훈련원1팀
SPB-31027,천왕1팀
SPB-31028,중랑2팀
SPB-31029,훈련원3팀
SPB-31035,천왕1팀
SPB-31038,중랑2팀
SPB-31044,중랑2팀
SPB-31045,영남1팀
SPB-31047,개화4팀
SPB-31049,중랑2팀
SPB-31051,개화3팀
SPB-31054,영남1팀
SPB-31055,중랑2팀
SPB-31056,중랑1팀
SPB-31058,개화4팀
SPB-31059,중랑2팀
SPB-31067,상암1팀
SPB-31075,세종로2팀
SPB-31078,중랑1팀
SPB-31079,상암1팀
SPB-31084,영남1팀
SPB-31086,중랑2팀
SPB-31088,상암1팀
SPB-31091,상암1팀
SPB-31092,세종로2팀
SPB-31094,상암1팀
SPB-31097,훈련원4팀
SPB-31099,훈련원4팀
SPB-31102,개화4팀
SPB-31103,개화3팀
