Department,District,Sname,Stid,Stid_temp
,,,,
학여울1팀,강남구,2391. 구룡터널 입구(개포1단지아파트),2391,2391
개화3팀,강서구,5082. 가양역 7번출구,5082,5082
세종로1팀,종로구,4719. 종로문화원 건너편,4719,4719
중랑2팀,성동구,3527. 왕십리 자이아파트,3527,3527
이수1팀,서초구,4314. 탑성마을 버스정거장 옆,4314,4314
중랑2팀,성동구,3538. 서울숲 IT캐슬,3538,3538
천왕2팀,구로구,3923. 구로공구상가 앞,3923,3923
이수1팀,서초구,2288. 안골마을입구,2288,2288
이수1팀,서초구,2286. 탑성마을입구,2286,2286
이수1팀,서초구,4322.서울추모공원 입구,4322,4322
이수1팀,서초구,2536.서초종합체육관 입구,2536,2536
상암1팀,마포구,4240. 아현문화건강센터,4240,4240
천왕1팀,구로구,2813.항동지구 3단지 302동 앞,2813,2813
세종로3팀,용산구,865.하얏트호텔 앞,865,865.
세종로3팀,용산구,859.남산공원 야외식물원 앞,859,859.
이수1팀,서초구,2287. 능안마을입구,2287,2287
훈련원2팀,성북구,4417. 성북청소년문화의집,4417,4417
학여울2팀,송파구,2612. 문정·가락 대여소 앞,2612,2612
이수2팀,서초구,2506. LG유플러스 (방배사옥),2506,2506
영남2팀,동작구,2096.서울특별시 동작관악교육지원청,2096,2096
이수1팀,강남구,2393. 구룡사 앞 교차로 (보도육교),2393,2393
천왕3팀,금천구,3971. 순흥안씨묘 건너편,3971,3971
이수1팀,서초구,2275. 염곡치안센터 건너편,2275,2275
상암1팀,마포구,3003.래미안신공덕3차아파트,3003,3003
훈련원2팀,성북구,1352. e 편한세상 보문아파트 내,1352,1352
이수1팀,서초구,2201. 본마을 정류소 앞,2201,2201
천왕1팀,구로구,2816.항동지구 8단지 803동옆(주차장입구),2816,2816
중랑1팀,광진구,3878. 장로회신학대학교 주기철 기념관,3878,3878
이수2팀,서초구,2289. 남태령역 2번출구,2289,2289
학여울2팀,강남구,2343. 세곡사거리 대왕파출소 앞,2343,2343
천호1팀,강동구,3677. 강동구음식물재활용센터,3677,3677
도봉2팀,노원구,1680. 삼육대 제3과학관,1680,1680
세종로 4팀,중구,484.도동삼거리,484,484.
천호1팀,강동구,3699. 상일파출소 옆,3699,3699
이수3팀,서초구,4324. 세화고등학교,4324,4324
중랑2팀,성동구,4363. 신금호역 2번출구 앞,4363,4363
세종로1팀,종로구,4709. 천지인 오피스텔 앞,4709,4709
세종로1팀,종로구,462. 신영동삼거리(북악터널방향),462,462.
영남2팀,관악구,3306.서울신우초등학교,3306,3306
훈련원1팀,종로구,3418.창신역2번 출구,3418,3418
훈련원1팀,종로구,3404.서울특별시 중부교육지원청,3404,3404
이수2팀,동작구,2068. 총신대 앞(육교),2068,2068
세종로1팀,종로구,3403.서울특별시 교육청,3403,3403
세종로1팀,종로구,447. 신영동삼거리,447,447.
세종로3팀,용산구,803. 한남초교 앞 보도육교,803,803.
천호1팀,강동구,1082.중앙보훈병원역3번출구,1082,1082
이수1팀,서초구,4323. 내곡도서관,4323,4323
훈련원1팀,중구,381. 장충체육관,381,381.
천호2팀,송파구,4853. 송파 안전체험교육관,4853,4853
도봉4팀,강북구,1550.삼각산아이원아파트(105동 옆),1550,1550
이수1팀,서초구,2541.옛골 입구,2541,2541
천왕1팀,구로구,2810.항동지구 3단지 311동 앞,2810,2810
학여울1팀,강남구,3648. 구룡역 4번 출구,3648,3648
이수3팀,서초구,2282. 방배래미안아트힐 101동앞,2282,2282
세종로 4팀,중구,4782. 서소문역사공원,4782,4782
세종로1팀,종로구,4702. 평창동 주민센터,4702,4702
세종로3팀,용산구,4637. 용산시티파크 101동 앞,4637,4637
세종로 4팀,중구,4760. 서울역 7번출구,4760,4760
학여울1팀,강남구,3622. 은마아파트입구 사거리(1),3622,3622
상암3팀,은평구,924. 메뚜기다리,924,924.
도봉2팀,노원구,4044. 공릉산 백세문 입구,4044,4044
훈련원2팀,성북구,4415. 미아초교버스승강장,4415,4415
훈련원2팀,성북구,1379.길음뉴타운푸르지오아파트 3단지,1379,1379
학여울2팀,강남구,3610. 윗반마을 입구,3610,3610
학여울1팀,강남구,2395. 개포1단지아파트 입구 (보도육교),2395,2395
중랑2팀,성동구,3532. 왕십리KCC스위첸아파트,3532,3532
세종로1팀,종로구,3430.구기치안센터 앞,3430,3430
상암3팀,은평구,991.흥국사 정류장,991,991.
훈련원1팀,중구,429. 송도병원,429,429.
천호1팀,강동구,1052. 리싸이클시티,1052,1052
개화4팀,양천구,4538. 양천공영차고지,4538,4538
영남3팀,영등포구,200. 국회의원회관,200,200.
학여울1팀,강남구,2352. 서울본부세관(건설회관 앞),2352,2352
이수1팀,서초구,2207. 내곡파출소 뒤 정자,2207,2207
이수3팀,서초구,4332. 이수교차로,4332,4332
훈련원1팀,중구,4777. 약수동 주민센터,4777,4777
세종로1팀,종로구,486. 평창동주민센터 앞,486,486.
세종로3팀,용산구,4612. 한남 준 J.FSS 앞,4612,4612
이수2팀,관악구,2199.신봉천주유소 A,2199,2199
중랑2팀,성동구,564. 금호역 3번출구,564,564.
천왕1팀,양천구,4541. 갈산문화예술센터,4541,4541
개화1팀,강서구,3781. 강서아동복지센터,3781,3781
훈련원2팀,성북구,1342. 성북쉼터 앞,1342,1342
상암2팀,서대문구,4265. 안산초등학교 앞,4265,4265
천왕1팀,구로구,2805.구로자원순환센터,2805,2805
이수3팀,서초구,4305. 서일스포츠센터,4305,4305
학여울1팀,강남구,2392. 구룡산 입구 (구룡산 서울둘레길 입구),2392,2392
이수1팀,서초구,2248. 서초리슈빌S 글로벌 앞,2248,2248
이수2팀,서초구,2284. CJ오쇼핑앞,2284,2284
중랑2팀,성동구,523. 옥수동성당 옆,523,523.
개화4팀,양천구,4523. 구립양천어르신요양센터,4523,4523
이수1팀,서초구,2257. 청계산 입구 삼거리,2257,2257
세종로 4팀,중구,4772. 중앙일보,4772,4772
세종로 4팀,용산구,4638. 청파동삼거리 앞,4638,4638
중랑3팀,중랑구,1424. 양원역 2번출구,1424,1424
세종로1팀,종로구,3431.로제우스 레포츠센터,3431,3431
이수2팀,동작구,4178. 이수성결교회 옆,4178,4178
중랑2팀,성동구,556. 달맞이공원,556,556.
상암3팀,은평구,969. 은평 지웰테라스,969,969.
학여울2팀,강남구,2401. 밀알학교 입구 (삼성서울병원 입구),2401,2401
이수3팀,서초구,2210. 반포1동 주민센터 앞,2210,2210
이수2팀,서초구,2225.백석예술대학교 제3캠퍼스 앞,2225,2225
천호2팀,송파구,4479. 문정중학교,4479,4479
학여울1팀,강남구,3615. 서울 논현동우체국 앞,3615,3615
상암3팀,은평구,937. 상림마을 롯데캐슬2단지 옆,937,937.
학여울2팀,송파구,1242. 문정 법조단지6,1242,1242
이수3팀,서초구,2510. JW타워,2510,2510
상암3팀,은평구,4668. 기자촌사거리,4668,4668
상암3팀,은평구,968. 은평뉴타운 상림마을 13단지,968,968.
학여울1팀,강남구,2347. 두산건설 본사,2347,2347
천왕1팀,구로구,2809.항동지구 11단지 1103동 앞,2809,2809
천왕1팀,구로구,2806.항동지구 4단지 입구,2806,2806
천왕1팀,구로구,3922. 서울남부교정시설 앞,3922,3922
세종로 4팀,용산구,4617. 동원베네스트 건너편,4617,4617
이수2팀,동작구,2092.흑석한강푸르지오(110동),2092,2092
세종로 4팀,중구,443.호암아트홀,443,443.
이수1팀,서초구,4309. 서초케이타운앞,4309,4309
세종로3팀,용산구,4623. 라인프랜즈이태원점 앞,4623,4623
이수3팀,서초구,4327. 몽마르뜨공원입구,4327,4327
학여울2팀,송파구,2659.서울친환경유통센터,2659,2659
영남2팀,관악구,2141. 미림여고입구 교차로,2141,2141
천왕3팀,금천구,1866.서울안천초등학교 옆,1866,1866
학여울1팀,강남구,2386. 크린랩 본사,2386,2386
이수2팀,동작구,2061. 한강 현대아파트 건너편,2061,2061
천호1팀,강동구,1039. 고덕초등학교,1039,1039
중랑3팀,중랑구,1467.sk신내 주유소앞(용마산로),1467,1467
도봉4팀,강북구,1572. 우이동 먹거리마을,1572,1572
이수3팀,서초구,2533.한가람미술관 앞,2533,2533
이수2팀,동작구,2079.중앙대학교 중앙광장,2079,2079
천호1팀,강동구,1007.암사동 선사유적지,1007,1007
천왕1팀,구로구,2807.항동지구 1단지 105동 앞,2807,2807
이수1팀,서초구,4310. 염곡동(염통골) 입구,4310,4310
세종로 4팀,중구,4801. 충정로역 2호선(엘리베이터 앞),4801,4801
학여울2팀,송파구,1250.문정2동 주민센터,1250,1250
중랑3팀,중랑구,1422. 신내우디안아파트 1단지,1422,1422
천왕1팀,구로구,3915. 동선아파트 앞,3915,3915
학여울2팀,송파구,4488. 문현중.고등학교 사이,4488,4488
학여울1팀,강남구,2334. 삼호아파트 2동 ( 간선도로),2334,2334
이수2팀,동작구,4177. 롯데캐슬 101동 앞,4177,4177
세종로2팀,종로구,465. 삼청공원 앞,465,465.
천호1팀,강동구,1066.생태공원앞 교차로(조명탑),1066,1066
상암1팀,마포구,4239. 성산2동 주민센터,4239,4239
천호1팀,강동구,1089.고덕 래미안힐스테이트(201동),1089,1089
이수3팀,서초구,2532.국립국악원 앞,2532,2532
상암3팀,은평구,921. 신도고등학교,921,921.
학여울1팀,강남구,2304. 대현그린타워,2304,2304
이수2팀,동작구,2040. 비계 버스정류소,2040,2040
상암3팀,은평구,938. 금암 문화공원,938,938.
이수2팀,서초구,2226. 신동아럭스빌아파트 앞,2226,2226
천왕3팀,금천구,3967. 혜명양로원 담장 옆(2),3967,3967
천왕1팀,구로구,3910. 목양전원교회 앞 로터리,3910,3910
영남3팀,영등포구,4584. 국회2문,4584,4584
학여울1팀,강남구,3649. 구룡역 5번 출구,3649,3649
중랑3팀,중랑구,1445. 용마지구대,1445,1445
세종로3팀,용산구,854.HID 유족동지회 앞,854,854.
천호1팀,강동구,3652. 한영외국어고등학교,3652,3652
중랑2팀,성동구,3556.신금호파크자이APT앞,3556,3556
이수3팀,강남구,4907. 극동스포츠 앞,4907,4907
천왕3팀,금천구,1855. 성지아파트 옆 도로변,1855,1855
중랑3팀,중랑구,4830. 신내 우디안 111동 앞,4830,4830
도봉2팀,노원구,4021. 중계본동 입구,4021,4021
천호1팀,강동구,3698. 명일역 3번출구 옆,3698,3698
세종로 4팀,중구,384. 종로학원본원,384,384.
천호2팀,송파구,1283. 오금공원 사거리,1283,1283
천왕1팀,구로구,3911. 항동하버리안2단지아파트 후문,3911,3911
세종로3팀,용산구,855.이촌역5번출구 앞,855,855.
세종로3팀,용산구,831. 이태원관광특구입구,831,831.
중랑3팀,중랑구,1427. 용마산역 1번출구,1427,1427
이수2팀,동작구,2093.상도SH빌아파트 입구,2093,2093
중랑2팀,성동구,3531. 논골사거리(금호도서관 입구),3531,3531
상암3팀,은평구,4681.박석고개(은평소방서) 앞,4681,4681
천왕3팀,금천구,1861.IBK기업은행 석수역 지점 앞,1861,1861
중랑1팀,광진구,3563.구의7단지현대아파트,3563,3563
이수3팀,서초구,2545.국립중앙도서관(국제회의장옆),2545,2545
세종로3팀,용산구,4611. 국제루터교회 앞,4611,4611
중랑1팀,광진구,3524. 세종대학교,3524,3524
천호2팀,송파구,4896. 위례포레샤인15단지,4896,4896
천왕3팀,금천구,3970. 시흥4동주민센터 앞,3970,3970
