F_bid,F_sid,T_time,T_distance,Num_of_used
SPB-30001,726,10,853.65,1
SPB-30009,184,16,1975,1
SPB-30010,153,40,2116.47,1
SPB-30014,710,8,0.2,1
SPB-30024,383,25,3496.81,2
SPB-30044,660,22,4909.46,1
SPB-30053,592,2,548.33,1
SPB-30055,670,13,2212.72,1
SPB-30057,439,31,5982.44,1
SPB-30061,353,35,4181.48,2
SPB-30070,678,58,11643.68,1
SPB-30071,109,8,973.13,1
SPB-30074,184,38,4284.15,2
SPB-30091,493,31,5791.48,1
SPB-30098,154,46,6601.7,2
SPB-30103,108,26,2956.25,2
SPB-30108,278,37,6797.85,1
SPB-30110,731,20,3089.72,1
SPB-30111,274,92,17883.21,2
SPB-30114,105,21,2523.98,1
SPB-30117,327,48,8174.41,3
SPB-30119,622,29,3057,3
SPB-30120,567,12,1583.84,1
SPB-30128,242,8,786.12,1
SPB-30140,591,9,460.14,1
SPB-30141,237,19,4403,1
SPB-30143,148,17,979.25,1
SPB-30144,568,9,1305.57,1
SPB-30146,206,47,9206.04,3
SPB-30149,176,8,1275.46,1
SPB-30155,723,3,563.69,1
SPB-30160,292,8,1803.61,1
SPB-30162,601,7,1054.67,1
SPB-30165,506,56,0,1
SPB-30173,576,20,3416.55,2
SPB-30175,502,4,949.06,1
SPB-30180,729,5,860.45,1
SPB-30182,241,7,1421.8,1
SPB-30191,563,5,875.68,1
SPB-30192,230,34,3960.56,2
SPB-30200,217,1,0,1
SPB-30213,700,52,989.36,1
SPB-30222,672,10,1586.23,2
SPB-30223,589,5,823.77,1
SPB-30230,476,77,1376.21,1
SPB-30234,708,9,1491.7,1
SPB-30237,458,31,2666.9,1
SPB-30239,770,7,1074.34,1
SPB-30240,530,3,564.07,1
SPB-30241,734,56,1996.45,1
SPB-30243,732,36,2521.79,1
SPB-30245,474,11,1709.07,1
SPB-30246,278,111,22017.8,1
SPB-30252,314,8,1240.75,1
SPB-30258,133,49,7143.28,1
SPB-30259,680,3,394.93,1
SPB-30264,154,12,2905.94,1
SPB-30265,576,11,1669.82,1
SPB-30267,607,42,4282.11,1
SPB-30269,479,8,682.47,1
SPB-30271,123,10,1583.79,1
SPB-30273,195,34,3102.15,1
SPB-30278,287,15,2420.06,1
SPB-30282,243,114,2793.82,2
SPB-30290,633,22,3403.96,1
SPB-30291,515,35,4905.33,1
SPB-30299,103,32,2536.63,1
SPB-30304,207,231,18106.82,3
SPB-30308,734,34,2616.33,3
SPB-30310,290,36,2868.18,1
SPB-30317,179,3,832.41,1
SPB-30319,383,6,648.05,1
SPB-30325,146,76,16028.73,2
SPB-30326,539,18,3945.59,1
SPB-30328,492,10,1206.62,1
SPB-30332,196,8,1514.02,1
SPB-30334,410,8,1227.18,1
SPB-30335,641,58,3063.08,1
SPB-30341,548,37,9779.78,1
SPB-30346,204,1,0,1
SPB-30347,568,18,3300.1,1
SPB-30351,244,24,3811.2,1
SPB-30352,658,114,728.55,1
SPB-30356,223,20,1977.22,1
SPB-30358,723,58,13034.49,2
SPB-30364,203,4,521.01,1
SPB-30369,708,3,660.67,1
SPB-30370,147,30,2347.42,1
SPB-30371,626,6,0,1
SPB-30372,290,10,1810.81,2
SPB-30387,509,5,594.38,1
SPB-30391,409,29,3508.97,2
SPB-30392,640,25,4996.5,1
SPB-30401,116,8,1177.86,1
SPB-30405,263,25,3859.01,2
SPB-30413,320,13,2798.7,1
SPB-30414,520,28,1300.87,1
SPB-30416,285,8,868.34,1
SPB-30417,754,4,602.07,1
SPB-30419,153,20,2808.59,2
SPB-30420,714,19,2551.55,1
SPB-30426,627,37,5955.03,2
SPB-30428,487,30,5298.75,1
SPB-30434,230,5,517.82,1
SPB-30435,550,19,2258.41,1
SPB-30445,679,34,2819.16,1
SPB-30450,501,27,3855.59,1
SPB-30455,341,7,1318.9,1
SPB-30459,623,20,3053.31,2
SPB-30460,505,56,8621.04,2
SPB-30463,529,16,2040.06,2
SPB-30464,631,27,2213.71,1
SPB-30478,445,23,2625.97,1
SPB-30480,622,75,11428.43,1
SPB-30481,195,6,1296.22,1
SPB-30483,708,27,5077.92,2
SPB-30485,284,5,640.37,1
SPB-30486,262,4,684.22,1
SPB-30489,258,5,615.06,1
SPB-30496,427,71,7420.31,1
SPB-30500,518,44,4653.2,1
SPB-30502,502,5,901.91,1
SPB-30509,247,13,1889.81,1
SPB-30511,758,28,4210.07,1
SPB-30520,535,4,727.41,1
SPB-30524,513,59,833.54,1
SPB-30532,764,9,1126.59,1
SPB-30535,113,27,1006.14,1
SPB-30539,270,17,2580.84,1
SPB-30553,648,39,4581.72,2
SPB-30556,680,13,1639.65,1
SPB-30561,712,14,2146.58,1
SPB-30566,204,4,864.35,1
SPB-30574,710,14,1672.03,1
SPB-30581,207,23,4110.66,1
SPB-30582,576,99,15310.25,1
SPB-30586,361,8,1293.43,1
SPB-30587,236,10,1240.13,2
SPB-30588,492,8,1350.21,1
SPB-30591,539,13,1906.28,1
SPB-30597,232,17,1994.6,1
SPB-30600,735,14,2335.09,1
SPB-30603,225,5,1183.72,1
SPB-30604,107,22,2358.54,2
SPB-30606,203,18,2147.85,2
SPB-30607,770,22,2269.04,1
SPB-30608,497,12,2037.52,1
SPB-30610,703,20,3072.34,1
SPB-30615,703,4,727.6,1
SPB-30619,744,30,2979.94,1
SPB-30622,634,26,1565.68,1
SPB-30625,768,1,0,1
SPB-30630,379,66,9542.77,1
SPB-30631,506,22,2945.4,1
SPB-30634,122,6,1034.05,1
SPB-30645,726,46,4812.18,2
SPB-30648,723,9,1291.22,1
SPB-30653,702,4,543.02,1
SPB-30654,744,8,1464.29,1
SPB-30659,430,7,1236.82,1
SPB-30664,297,5,648.14,1
SPB-30675,219,9,1108.37,1
SPB-30677,259,12,460.83,1
SPB-30678,592,5,994.56,1
SPB-30685,540,7,1354.12,1
SPB-30689,509,23,2081,1
SPB-30691,171,8,452.42,1
SPB-30692,217,18,222.39,2
SPB-30693,383,15,3200.1,1
SPB-30707,758,24,2378.35,2
SPB-30710,578,14,1601.71,1
SPB-30716,427,14,1296.22,1
SPB-30719,589,6,826.11,1
SPB-30723,133,26,3900.38,1
SPB-30725,502,4,1079.69,1
SPB-30727,129,25,2800.24,2
SPB-30737,703,5,814.39,1
SPB-30741,639,11,1068.42,1
SPB-30747,613,48,1601.06,1
SPB-30761,153,65,2456.63,2
SPB-30763,230,19,1393.29,1
SPB-30771,408,64,8129.96,1
SPB-30776,514,6,759.9,1
SPB-30778,302,45,6047.04,1
SPB-30780,592,13,2980.65,1
SPB-30781,279,65,7230.95,2
SPB-30782,770,9,1164.8,1
SPB-30783,202,27,4083.03,1
SPB-30784,302,86,9777.08,3
SPB-30785,502,60,6804.56,1
SPB-30790,561,4,503.92,1
SPB-30793,113,8,887.29,1
SPB-30796,502,3,694.95,1
SPB-30800,643,16,2238.39,1
SPB-30803,268,4,837.51,1
SPB-30805,437,13,1813.88,2
SPB-30807,585,9,839.79,1
SPB-30809,763,6,341.33,1
SPB-30816,256,27,5635.91,1
SPB-30820,508,9,1231.16,1
SPB-30821,643,20,2576.82,2
SPB-30823,670,58,14698.14,1
SPB-30824,268,5,460.18,1
SPB-30827,770,6,921.85,1
SPB-30831,656,3,741.25,1
SPB-30833,747,15,2631.89,1
SPB-30837,584,58,9322.78,2
SPB-30841,147,141,5887.87,3
SPB-30844,418,32,2103.87,1
SPB-30849,157,9,1223.97,1
SPB-30850,421,14,1960.04,1
SPB-30853,549,7,1160.85,1
SPB-30855,656,34,4464.17,2
SPB-30861,282,84,1560.34,1
SPB-30871,228,10,1301.54,1
SPB-30873,512,26,5424.63,1
SPB-30877,502,65,2857.16,1
SPB-30878,436,12,1916.79,1
SPB-30883,670,6,1250.41,1
SPB-30885,383,4,620.33,1
SPB-30896,488,6,812.47,1
SPB-30912,744,4,606.68,1
SPB-30930,502,45,5296.83,1
SPB-30931,229,18,2553.15,1
SPB-30935,255,12,1891.75,1
SPB-30938,502,72,5222.65,3
SPB-30944,734,9,946.34,1
SPB-30945,631,5,713.23,1
SPB-30954,441,13,1820.46,1
SPB-30955,268,8,841.34,1
SPB-30966,153,9,1508.51,1
SPB-30967,207,29,3662.45,2
SPB-30969,414,26,1146.07,1
SPB-30970,326,37,4853.38,1
SPB-30980,422,22,563.61,1
SPB-30983,207,31,0,1
SPB-30989,602,12,1526.53,1
SPB-30998,371,7,788.9,1
SPB-31001,342,32,3353,2
SPB-31004,458,24,4430.68,1
SPB-31011,345,69,10086.77,2
SPB-31014,442,14,1944.56,1
SPB-31016,194,134,21277.47,1
SPB-31017,548,7,1065.13,1
SPB-31018,247,26,3087.64,2
SPB-31020,240,19,2373.63,2
SPB-31022,633,87,7623.17,1
SPB-31026,393,36,6577.85,1
SPB-31027,729,5,760.73,1
SPB-31028,550,49,5990.91,2
SPB-31029,640,32,5456.71,2
SPB-31035,729,40,7120.36,2
SPB-31038,512,2,544.39,1
SPB-31044,509,53,11722.41,1
SPB-31045,770,13,2371.8,1
SPB-31047,758,7,1332.76,1
SPB-31049,565,30,7592.75,1
SPB-31051,768,20,2556.57,2
SPB-31054,272,51,10016.75,1
SPB-31055,508,42,2975.74,2
SPB-31056,542,41,8118.92,1
SPB-31058,757,33,6343.88,1
SPB-31059,512,7,726.17,1
SPB-31067,107,6,870.13,1
SPB-31075,320,12,1837.93,2
SPB-31078,500,15,1802.8,1
SPB-31079,495,91,11088.66,2
SPB-31084,245,7,640.4,1
SPB-31086,585,26,2594.84,1
SPB-31088,400,12,2036.39,1
SPB-31091,183,20,2636.82,1
SPB-31092,471,42,7333.91,1
SPB-31094,487,80,2925.98,1
SPB-31097,623,41,3236.21,2
SPB-31099,630,88,3759.89,2
SPB-31102,750,63,11463.54,1
SPB-31103,726,5,111.2,1
SPB-31118,641,84,11426.74,1
SPB-31122,409,7,810.27,1
SPB-31124,267,29,5561.13,1
SPB-31125,713,14,2069.04,1
SPB-31126,262,12,1918.39,2
SPB-31127,568,25,3907.41,1
SPB-31130,542,12,1357.39,1
SPB-31132,361,20,2610.52,1
SPB-31135,214,99,14833.24,3
SPB-31141,678,24,2603.86,1
SPB-31146,109,18,2809.38,1
SPB-31147,765,3,832.2,1
SPB-31152,418,108,16751.45,5
SPB-31157,665,42,5260.37,2
SPB-31167,115,54,3708.56,1
SPB-31169,191,6,965.52,1
SPB-31176,558,21,3636.81,1
SPB-31181,559,39,5062.62,1
SPB-31183,559,42,5996.34,2
SPB-31185,769,11,896.38,1
SPB-31190,318,1,208.41,1
SPB-31192,275,8,1709.25,2
SPB-31194,289,23,5107.08,2
SPB-31197,438,5,806.79,1
SPB-31200,284,3,589.45,1
SPB-31201,231,52,2914.5,2
SPB-31203,647,22,2636.23,1
SPB-31204,614,7,1578.64,1
SPB-31205,521,28,3697.01,1
SPB-31207,270,109,3827.96,1
SPB-31215,176,11,1774.5,1
SPB-31216,768,82,2361.13,1
SPB-31223,729,52,2752.14,1
SPB-31226,744,8,1750.32,1
SPB-31227,272,7,2.39,1
SPB-31228,354,9,904.81,1
SPB-31231,762,20,4107.85,1
SPB-31234,324,25,2836.22,1
SPB-31235,589,3,561.32,1
SPB-31239,126,40,6840.93,1
SPB-31240,143,37,3163.79,1
SPB-31242,210,38,3136.35,1
SPB-31246,710,7,1453.72,1
SPB-31257,393,47,2457.42,1
SPB-31265,164,32,4805.09,1
SPB-31266,362,5,731.52,1
SPB-31272,646,65,3027.25,1
SPB-31275,280,4,630.25,1
SPB-31276,488,46,8264.9,2
SPB-31279,234,33,5024.84,2
SPB-31280,770,6,913.07,1
SPB-31281,708,5,586.9,1
SPB-31284,590,2,460.15,1
SPB-31286,321,15,2429.3,1
SPB-31291,625,6,519.12,1
SPB-31294,421,13,2972.9,1
SPB-31297,293,7,1077.19,1
SPB-31298,266,11,1104.48,1
SPB-31300,224,9,1014.69,1
SPB-31301,420,47,6339.68,2
SPB-31305,755,8,239.23,1
SPB-31306,613,42,2655.46,1
SPB-31307,656,31,2017.56,1
SPB-31308,584,27,2031.13,2
SPB-31313,184,78,2783.49,1
SPB-31315,329,29,4349.01,2
SPB-31318,262,106,3462.02,1
SPB-31320,123,14,1942.65,1
SPB-31327,770,15,2198.12,1
SPB-31328,646,21,3831.93,2
SPB-31329,279,9,1850.9,1
SPB-31331,247,7,1094.46,1
SPB-31333,147,22,2678.88,2
SPB-31334,244,24,3006.93,1
SPB-31342,659,23,3428.96,1
SPB-31347,146,38,8802.26,2
SPB-31349,327,14,2004.21,2
SPB-31353,765,35,3374.19,3
SPB-31355,263,55,7875.29,2
SPB-31360,276,23,2605.38,1
SPB-31361,125,5,230.06,2
SPB-31364,240,3,561.29,1
SPB-31368,770,32,5912.92,1
SPB-31375,308,11,1033.76,1
SPB-31376,222,53,4324.18,3
SPB-31378,473,97,3469.2,1
SPB-31379,609,3,529.72,1
SPB-31382,568,4,350.41,1
SPB-31388,512,53,7310.55,2
SPB-31389,505,5,999.72,1
SPB-31390,502,52,9166.36,1
SPB-31393,709,30,3865.15,1
SPB-31400,344,32,3832.28,2
SPB-31401,704,11,1562.7,1
SPB-31403,228,103,26214.24,2
SPB-31407,770,13,2319.85,1
SPB-31409,706,41,2992.9,2
SPB-31411,358,57,7961.48,1
SPB-31415,219,93,4171.99,1
SPB-31425,602,23,3628.24,1
SPB-31428,415,4,506.15,1
SPB-31429,435,78,9759.81,2
SPB-31432,641,50,889.56,1
SPB-31437,590,8,1207.05,1
SPB-31445,359,159,10073.95,4
SPB-31447,634,36,4587.87,1
SPB-31457,326,41,5487.89,2
SPB-31463,641,50,9075.84,2
SPB-31468,559,17,2556.72,1
SPB-31469,114,5,1196.35,1
SPB-31470,613,16,3647.56,1
SPB-31472,458,25,3073.94,1
SPB-31474,207,77,7402.81,1
SPB-31475,370,12,1050.41,1
SPB-31478,582,16,2965.23,2
SPB-31479,207,13,2184.96,2
SPB-31482,664,19,2876.81,1
SPB-31483,461,8,1339.14,1
SPB-31485,286,60,4958.22,1
SPB-31486,236,39,4074.94,1
SPB-31487,485,54,2557.25,1
SPB-31488,708,16,1846.81,2
SPB-31490,646,54,8363.17,1
SPB-31506,514,17,2876.24,2
SPB-31508,457,23,5497.84,1
SPB-31509,572,11,1525.38,2
SPB-31510,565,88,16237.36,1
SPB-31512,668,53,10561.63,2
SPB-31518,112,7,772.15,1
SPB-31521,102,27,5050,1
SPB-31523,292,2,415.65,1
SPB-31524,219,17,3541,1
SPB-31526,741,15,2467.78,1
SPB-31528,270,11,1687.07,1
