Age,Sex,Types,Co2,Exercise,Num_of_use
50대,M,일일(회원),0,0,1
50대,,정기,0.51,62.44,3
40대,M,정기,0.73,106.18,5
50대,M,정기,1.12,127.88,2
40대,M,일일(회원),8.09,939.26,8
기타,,일일(비회원),5.8,643.2,12
10대,,일일(회원),1.13,98.1,3
20대,,일일(회원),25.3,2885.57,32
30대,,일일(회원),3.04,293.3,14
40대,,일일(회원),13.13,1583.46,14
기타,,일일(회원),1.17,120.94,5
20대,,일일(회원),2.07,202.06,4
30대,,일일(회원),0.21,23.97,1
40대,,일일(회원),1.72,230.13,2
50대,,일일(회원),0.46,64.62,1
10대,F,일일(회원),6.18,663.07,6
20대,F,일일(회원),10.08,1048.27,31
30대,F,일일(회원),15.14,1520.45,17
50대,F,일일(회원),2.1,206.85,3
기타,F,일일(회원),1.96,207.36,6
10대,M,일일(회원),0,0,2
20대,M,일일(회원),10.56,1235.69,16
30대,M,일일(회원),19.68,2433.62,28
40대,M,일일(회원),3.37,422.57,9
50대,M,일일(회원),2.5,308.43,5
기타,M,일일(회원),5.44,668.08,11
20대,,정기,83.47,8960.78,251
30대,,정기,74.4,8832.84,147
40대,,정기,29.35,3294.24,43
50대,,정기,17.36,2118.55,35
60대,,정기,3.43,378.32,7
70대이상,,정기,0.54,59.46,1
기타,,정기,0.53,57.81,3
20대,,정기,5.15,631.13,20
30대,,정기,3.36,345.16,13
50대,,정기,0.34,42.49,1
10대,F,정기,0.11,11.88,2
20대,F,정기,31.07,3166.78,84
30대,F,정기,26.1,2556.64,101
40대,F,정기,21.19,2084.13,62
50대,F,정기,7.64,709.29,29
60대,F,정기,1.28,109.69,2
기타,F,정기,3.86,421.68,19
10대,M,정기,3.7,408.6,13
20대,M,정기,32.13,3844.83,110
30대,M,정기,29.7,3839.92,92
40대,M,정기,20.62,2627.55,62
50대,M,정기,6.16,736.79,20
60대,M,정기,2.93,337.66,6
기타,M,정기,11.34,1599.57,32
20대,F,단체,0.72,79.99,2
30대,M,단체,1.54,139.31,2
기타,,일일(비회원),3.83,424.71,1
10대,,일일(회원),4.55,445.98,8
20대,,일일(회원),15.37,1614.07,26
30대,,일일(회원),9.54,1059,15
40대,,일일(회원),1.66,179.85,3
20대,,일일(회원),1.83,206.04,5
30대,,일일(회원),0.09,12.45,1
10대,F,일일(회원),1.33,126.12,3
20대,F,일일(회원),18.17,1860.68,24
30대,F,일일(회원),12.25,1162.6,9
40대,F,일일(회원),1.93,203.7,2
50대,F,일일(회원),0.4,44.27,1
60대,F,일일(회원),0,0,1
기타,F,일일(회원),1.71,189.19,4
10대,M,일일(회원),0.89,90.91,1
20대,M,일일(회원),12.5,1488,20
30대,M,일일(회원),6.75,839.64,14
40대,M,일일(회원),3.61,450.49,5
50대,M,일일(회원),0.71,85.1,3
기타,M,일일(회원),4.77,540.5,7
20대,,정기,84.22,9515.12,184
30대,,정기,26.47,3008.92,64
40대,,정기,12.48,1382.2,14
50대,,정기,1.77,223.59,9
60대,,정기,8.45,988.19,18
70대이상,,정기,0,0,1
기타,,정기,0.2,22.65,1
20대,,정기,0.78,71.19,4
30대,,정기,1.71,185.64,6
40대,,정기,0.18,25.14,1
50대,,정기,0,0,1
60대,,정기,0.19,24.32,1
10대,F,정기,0,0,1
20대,F,정기,26.91,2591.11,73
30대,F,정기,36.86,3513.1,81
40대,F,정기,9.62,1110.91,19
50대,F,정기,25.85,2533.28,52
60대,F,정기,5.83,538.37,5
