Age,Sex,Types,Co2,Exercise,Num_of_use
,,,,,
10대,,단체,185.9,21171.17,289
10대,,일일(회원),2272.5,246956.42,3917
10대,,일일(비회원),32.48,3606.31,32
10대,,정기,3141.29,347730.37,9650
10대,F,정기,2181.49,216825,7217
10대,F,단체,306.03,30870.29,459
10대,F,일일(회원),2998.74,301207.82,4399
10대,M,일일(회원),5868.23,684035.71,9734
10대,M,단체,711.72,82449.64,1052
10대,M,정기,6558.56,780989.44,21305
20대,,정기,60584.16,6903830.26,184512
20대,,단체,467.07,51363.37,711
20대,,일일(비회원),52.26,5796.47,81
20대,,10분이용권,0.16,18.85,1
20대,,일일(회원),20058.38,2229327.35,37970
20대,F,일일(회원),11415.69,1159070.5,20325
20대,F,정기,27293.19,2743476.25,83895
20대,F,단체,287.42,28655.31,451
20대,M,단체,277.01,33035.31,479
20대,M,일일(회원),14728.04,1798215.07,26421
20대,M,정기,39247.29,4822324.98,117741
30대,,단체,195.62,21859.18,310
30대,,정기,40779.76,4843706.46,113526
30대,,일일(비회원),11.39,1264.6,18
30대,,일일(회원),6974.5,808247.79,13255
30대,F,정기,23429.52,2350425.72,65039
30대,F,일일(회원),5085.15,511714.54,8900
30대,F,단체,260.1,26091.13,379
30대,M,단체,189.41,24759.96,253
30대,M,일일(비회원),0,0,1
30대,M,정기,44039.7,5573209.78,123036
30대,M,일일(회원),7342.4,930064.5,13710
40대,,일일(비회원),12.51,1388.36,17
40대,,정기,27925.63,3371177.05,67286
40대,,일일(회원),3077.94,363858.71,4825
40대,,단체,517.59,58508.18,726
40대,F,단체,718.52,72000.34,977
40대,F,일일(회원),2350.2,237576.23,3660
40대,F,정기,16100.14,1642464.62,37943
40대,M,일일(회원),3769.56,480833.01,6122
40대,M,정기,37324.58,4780739.96,86880
40대,M,단체,598.37,76357.24,742
50대,,단체,167.23,19919.58,175
50대,,일일(회원),1282.99,150233.62,1893
50대,,정기,22397.8,2603613.02,49432
50대,,일일(비회원),5.19,576.01,12
50대,F,정기,13609.43,1386396.02,28786
50대,F,일일(회원),1270.23,129648.63,1544
50대,F,단체,124.89,12980.15,172
50대,M,단체,167.35,20518.37,195
50대,M,일일(회원),2044.8,251356.67,2847
50대,M,정기,27469.42,3394871.46,58578
60대,,단체,7.6,714.06,7
60대,,일일(비회원),1.29,143.12,5
60대,,일일(회원),314.29,35195.21,426
60대,,정기,7772.88,891726.35,16312
60대,F,일일(회원),424.86,43850.54,454
60대,F,정기,4143.26,417632,7157
60대,F,단체,13.41,1400.62,12
60대,M,단체,9.06,1143.32,17
60대,M,정기,11829.72,1406098.72,24005
60대,M,일일(회원),697.37,81521.5,856
70대이상,,정기,1006.65,110888.31,2054
70대이상,,일일(회원),30.46,3389.79,52
70대이상,F,일일(회원),62.69,6972.92,87
70대이상,F,정기,717.1,81248.46,1623
70대이상,F,단체,1.14,143.47,4
70대이상,M,일일(회원),101.81,11893.32,149
70대이상,M,정기,2115.7,245487.8,3743
기타,,일일(비회원),6538.43,725422.67,8804
기타,,정기,5018.24,545638.76,12860
기타,,10분이용권,1.25,136.17,2
기타,,일일(회원),1753.76,188838.51,3109
기타,,단체,91.58,9872.42,129
기타,F,단체,262.55,26957.12,386
기타,F,정기,13231,1374401.49,35977
기타,F,일일(비회원),28.19,3126.79,28
기타,F,일일(회원),3505.19,367553.59,6266
기타,M,일일(비회원),27.31,3029.29,46
기타,M,일일(회원),5227.55,637227.2,10089
기타,M,단체,369.66,45095.98,481
기타,M,정기,22833.14,2829288.23,62846
